#{"t_start": 1633611499.1684194, "env_id": null}
r,l,t
-3.49,300,1.382721
-3.49,300,3.034405
-3.49,300,4.651991
-3.49,300,6.192611
-3.49,300,7.770644
-3.49,300,9.38095
-3.49,300,11.136769
-3.49,300,12.753033
-3.49,300,14.366464
-3.49,300,16.074677
-3.49,300,17.642363
-3.49,300,19.301882
-3.49,300,20.621405
-3.49,300,22.182053
-3.49,300,23.602968
-3.49,300,25.015607
-3.49,300,26.337548
-3.49,300,27.664178
-3.49,300,29.020676
-3.49,300,30.341816
-3.49,300,31.66396
-3.49,300,32.987656
-3.49,300,34.487941
-3.49,300,35.845984
-3.49,300,37.170512
-3.49,300,38.601312
-3.49,300,39.924883
-3.49,300,41.375573
-3.49,300,42.750823
-3.49,300,44.105359
-3.49,300,45.432329
-3.49,300,46.755137
-3.49,300,48.309522
-3.49,300,49.842699
