#{"t_start": 1633894550.7794335, "env_id": null}
r,l,t
7.79,222,0.31216
-12.99,300,1.295734
-12.99,300,2.548495
-12.99,300,3.786539
-12.99,300,5.008727
-12.99,300,6.224407
-12.99,300,7.436895
-12.99,300,8.647198
-12.99,300,9.865412
-12.99,300,11.103853
-12.99,300,12.333264
-12.99,300,13.574618
-12.99,300,14.822727
-12.99,300,16.072093
-12.99,300,17.32396
-12.99,300,18.572668
-12.99,300,19.833121
-12.99,300,21.091161
-12.99,300,22.311965
-12.99,300,23.532419
-12.99,300,24.75589
-12.99,300,25.977675
-12.99,300,27.19943
-12.99,300,28.446627
-12.99,300,29.705714
7.16,285,30.952406
8.22,179,32.085033
-12.99,300,32.903598
9.41,60,34.015152
-22.7,271,34.391448
-12.99,300,35.525413
-12.99,300,36.751788
-12.99,300,37.981163
-12.99,300,39.205534
-12.99,300,44.390441
-12.99,300,45.611207
7.44,257,46.815928
8.22,179,47.814966
-12.99,300,48.615331
-12.99,300,49.842193
-12.99,300,51.0835
8.59,142,52.228027
-12.99,300,52.905788
8.65,136,54.046391
-12.99,300,54.70661
-12.99,300,55.960977
-12.99,300,57.214844
-12.99,300,58.468185
-12.99,300,59.726308
-12.99,300,60.969626
-12.99,300,62.188599
-12.99,300,63.404323
-12.99,300,64.622478
-12.99,300,65.877814
-12.99,300,67.129108
-12.99,300,68.382691
-12.99,300,69.635571
9.59,42,70.738787
-12.99,300,71.068145
8.61,140,72.216623
9.63,38,72.728514
-22.46,247,73.004186
-12.99,300,74.046386
-12.99,300,75.278779
-12.99,300,76.500969
-12.99,300,77.747142
-12.99,300,79.003179
-12.99,300,80.248018
-12.99,300,81.485767
-12.99,300,82.738378
-12.99,300,83.990627
-12.99,300,85.230278
-12.99,300,90.540096
9.01,100,91.65287
-12.99,300,92.17908
-12.99,300,93.399408
8.25,176,94.543644
9.31,70,95.195135
7.78,223,95.568116
-12.99,300,96.521163
8.37,164,97.658836
7.08,293,98.399204
-12.99,300,99.594803
-12.99,300,100.814142
-12.99,300,102.036846
-12.99,300,103.255764
9.52,49,104.364533
-12.99,300,104.720026
-12.99,300,105.975607
-12.99,300,107.238003
-12.99,300,108.497513
-12.99,300,109.763188
-12.99,300,110.998546
-12.99,300,112.229793
7.27,274,113.439595
-12.99,300,114.576002
-12.99,300,115.803656
-12.99,300,117.025563
-12.99,300,118.246239
-12.99,300,119.457962
-12.99,300,120.670494
-12.99,300,121.887275
8.67,134,123.012877
-12.99,300,123.647605
-12.99,300,124.866744
8.4,161,126.005502
7.52,249,126.709417
-12.99,300,127.762353
-12.99,300,129.003386
-22.92,293,130.24548
9.14,87,131.322529
-12.99,300,135.955524
-12.99,300,137.178952
-12.99,300,138.396173
7.63,238,139.579096
-12.99,300,140.587969
7.87,214,141.78803
-12.99,300,142.706598
7.63,238,143.884387
-12.99,300,144.883049
-12.99,300,146.118673
-12.99,300,147.362942
7.26,275,148.591556
-12.99,300,149.743468
-12.99,300,150.988733
-12.99,300,152.22809
-12.99,300,153.464156
-12.99,300,154.712422
7.18,283,155.942671
-12.99,300,157.102788
-12.99,300,158.318558
-12.99,300,159.535923
-12.99,300,160.759476
-12.99,300,161.977181
-12.99,300,163.21476
8.13,188,164.390396
8.41,160,165.160818
8.22,179,165.845186
-12.99,300,166.673834
7.82,219,167.881955
-12.99,300,168.845967
9.53,48,169.953897
-12.99,300,170.30897
-12.99,300,171.542145
-12.99,300,172.769737
-12.99,300,173.990635
8.91,110,175.097135
-12.99,300,175.653362
-12.99,300,180.828559
-12.99,300,182.050415
-12.99,300,183.27055
-12.99,300,184.497443
-12.99,300,185.720208
-12.99,300,186.943811
-12.99,300,188.171087
-12.99,300,189.420389
8.04,197,190.614715
-12.99,300,191.503134
-12.99,300,192.761716
-12.99,300,194.018437
-12.99,300,195.275226
-12.99,300,196.534581
7.78,223,197.742227
-12.99,300,198.719498
-22.92,293,199.975311
-12.99,300,201.180457
-12.99,300,202.406215
7.53,248,203.605987
-12.99,300,204.643487
8.8,121,205.767383
-12.99,300,206.376971
8.2,181,207.561814
-12.99,300,208.395053
-12.99,300,209.652272
-12.99,300,210.912753
7.3,271,212.155144
7.45,256,213.256658
-12.99,300,214.318688
7.33,268,215.517885
7.79,222,216.58461
-12.99,300,217.53629
-12.99,300,218.757606
-12.99,300,219.983094
-12.99,300,225.281187
-12.99,300,226.510715
-12.99,300,227.72906
-12.99,300,228.944199
-12.99,300,230.170725
-12.99,300,231.432992
-12.99,300,232.685905
-12.99,300,233.940056
8.13,188,235.119661
7.47,254,235.924426
-12.99,300,236.983421
-12.99,300,238.207183
-12.99,300,239.432306
-12.99,300,240.658095
-12.99,300,241.881639
-12.99,300,243.103867
-12.99,300,244.323237
-12.99,300,245.546814
-12.99,300,246.774588
-12.99,300,247.995903
-12.99,300,249.217526
-22.74,275,250.427325
7.6,241,251.530776
-12.99,300,252.548199
-12.99,300,253.76896
-12.99,300,254.992956
-12.99,300,256.225286
-12.99,300,257.458506
-12.99,300,258.685739
-12.99,300,259.917478
7.26,275,261.158602
-12.99,300,262.303647
-12.99,300,263.524816
7.9,211,264.701321
-12.99,300,265.610773
-12.99,300,271.039936
-12.99,300,272.283023
-12.99,300,273.525034
-12.99,300,274.767597
-12.99,300,276.02479
-12.99,300,277.279917
-12.99,300,278.525691
-12.99,300,279.783378
-12.99,300,281.03991
-12.99,300,282.299459
-12.99,300,283.557231
-12.99,300,284.813656
-12.99,300,286.076491
-12.99,300,287.331587
-12.99,300,288.566192
-12.99,300,289.791438
7.3,271,290.999561
-12.99,300,292.123353
8.22,179,293.280535
-12.99,300,294.083985
7.21,280,295.296787
7.74,227,296.408255
-12.99,300,297.380166
-12.99,300,298.604132
-12.99,300,299.8288
-12.99,300,301.053523
-12.99,300,302.278747
