#{"t_start": 1633982944.3424034, "env_id": null}
r,l,t
-12.99,300,0.355481
-12.99,300,1.566161
8.31,170,2.689371
-12.99,300,3.442516
-12.99,300,4.639439
-12.99,300,5.837032
7.81,220,6.999303
-12.99,300,7.940086
-12.99,300,9.167005
-22.75,276,10.397697
-12.99,300,11.515579
-12.99,300,12.717286
-12.99,300,13.921983
8.57,144,15.03318
-12.99,300,15.699257
-12.99,300,16.902599
-12.99,300,18.108013
-12.99,300,19.315944
-12.99,300,20.522404
-12.99,300,21.730249
-12.99,300,22.93211
-12.99,300,24.149075
-12.99,300,25.370909
8.86,115,26.482956
-12.99,300,27.061615
8.7,131,28.195012
-12.99,300,28.840325
7.09,292,30.056104
-12.99,300,31.248114
-12.99,300,32.484451
-12.99,300,33.729838
-12.99,300,34.977152
-12.99,300,36.196803
-12.99,300,37.402727
-12.99,300,38.606154
-12.99,300,43.949902
-12.99,300,45.15677
-12.99,300,46.362068
8.1,191,47.50243
-12.99,300,48.329076
-12.99,300,49.538847
-12.99,300,50.743455
-12.99,300,51.949525
-12.99,300,53.15985
-22.55,256,54.340541
-12.99,300,55.38957
-12.99,300,56.59298
-12.99,300,57.797006
-12.99,300,59.007347
-12.99,300,60.218917
-12.99,300,61.432881
8.12,189,62.581656
-12.99,300,63.414138
-12.99,300,64.625573
-12.99,300,65.837788
-12.99,300,67.051211
-12.99,300,68.25841
