#{"t_start": 1631368645.9104753, "env_id": null}
r,l,t
-1,150,0.309393
-1,150,1.177985
-1,150,2.039
-1,136,3.876496
-1,150,4.665031
-1,150,5.541738
-1,150,22.400578
-1,150,23.292125
-1,150,24.197176
-1,150,25.129951
-1,150,27.019733
-1,150,27.914621
-1,150,28.801092
1,65,45.428266
1,120,45.880278
-1,150,46.643687
-1,150,47.556527
-1,150,49.483658
-1,150,50.391552
-1,150,51.301854
-1,150,68.000964
-1,150,68.884091
1,134,69.754678
1,43,70.446299
1,66,70.732054
1,33,71.089233
1,29,71.279532
0,25,71.65207
1,30,71.802155
1,55,72.011864
1,45,72.323529
1,58,72.603705
1,66,72.963553
1,42,73.324975
1,43,73.575958
1,49,73.83789
1,46,74.132521
1,46,74.405375
-1,25,81.482688
1,65,81.675195
1,66,82.06332
1,59,82.436617
1,53,82.769265
1,49,83.077819
1,74,83.393801
1,81,83.840622
1,99,84.714418
1,59,85.281114
-1,150,85.758947
1,68,86.58927
-1,133,87.09478
1,39,93.340953
1,51,93.587165
1,61,93.896756
1,40,94.239205
1,45,94.478031
1,49,94.747304
-1,150,95.172739
-1,150,97.086888
1,45,97.838316
1,48,98.128117
-1,150,98.542566
0,150,99.462006
